day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file
0,66,134.0,46.0,51.0,50.03723383936749,8.0,21.0,14.0,13.0,13.0,98.0,37.0,25560.0,0.0,0.0,3660.0,17340.0,4560.0,420.0,3096.0,931.0,9074.0,13.0,10.0,16.0,0.0,7.0,56.0,group3,12,dataset_user_12_train.csv
0,84,92.0,37.0,40.0,40.0,6.0,19.0,13.0,14.0,14.0,88.0,23.0,28860.0,0.0,0.0,3960.0,19800.0,5100.0,300.0,2270.0,50.0,2129.0,14.0,10.0,18.0,0.0,4.0,44.0,group3,21,dataset_user_21_train.csv
0,75,144.0,59.0,61.0,61.66882594583033,7.0,24.0,15.0,15.0,14.0,96.0,43.0,19389.0,0.0,0.0,4740.0,11700.0,3000.0,120.0,2315.0,607.0,7484.0,15.0,12.0,18.0,0.0,10.0,68.0,group3,30,dataset_user_30_train.csv
1,64,105.0,47.0,51.0,52.0,7.0,21.0,14.0,13.0,13.0,94.0,30.0,22842.0,1380.0,0.0,2460.0,18480.0,1920.0,1860.0,2390.0,225.0,5447.0,13.0,10.0,17.0,2.0,21.0,56.0,group3,12,dataset_user_12_train.csv
1,91,128.0,39.0,40.0,40.00000000000001,6.0,21.0,14.0,14.0,14.0,99.0,31.0,25500.0,0.0,0.0,6360.0,14220.0,4920.0,120.0,2432.0,212.0,5407.0,14.0,10.000000000000002,18.0,0.0,14.0,44.0,group3,21,dataset_user_21_train.csv
1,84,111.0,58.0,61.0,62.0,9.0,23.0,16.0,14.0,14.0,94.0,27.0,24480.0,0.0,0.0,5880.0,11640.0,6960.0,290.6302541570022,1823.0,115.0,533.0,14.0,11.0,19.0,1.0,18.0,68.74394128734326,group3,30,dataset_user_30_train.csv
2,79,157.0,44.0,48.0,51.0,7.0,21.0,13.0,13.0,13.0,99.0,40.0,17820.0,0.0,0.0,5100.0,9660.0,3060.0,1620.0,2918.0,753.0,6148.0,13.0,9.0,16.0,1.0,6.0,52.0,group3,12,dataset_user_12_train.csv
2,64,126.0,39.0,40.0,40.07076868656729,7.0,22.0,14.0,14.0,14.0,99.0,34.0,29460.0,0.0,0.0,7860.0,13680.0,7920.0,840.0,2512.0,292.0,6919.0,14.0,10.0,19.0,1.0,17.0,44.0,group3,21,dataset_user_21_train.csv
3,64,126.0,45.0,49.0,51.0,7.0,21.0,14.0,13.0,13.0,99.0,42.0,26880.0,0.0,0.0,3300.0,19680.0,3900.0,780.0,2833.0,668.0,9192.0,13.0,10.0,17.0,2.0,16.0,56.0,group3,12,dataset_user_12_train.csv
3,86,127.0,40.0,42.0,40.0,6.0,20.0,13.0,14.0,14.0,98.0,34.0,24014.999042194097,0.0,0.0,6060.0,14187.909242563692,4200.0,240.0,2686.0,466.0,11362.0,14.0,10.0,17.0,0.0,12.0,45.0,group3,21,dataset_user_21_train.csv
3,88,102.0,41.91491003505172,43.5477866874423,43.72943106787708,8.0,22.0,13.0,12.0,11.0,93.7306589228723,21.0,25479.188515556827,0.0,0.0,1860.0,16217.996324331982,5008.016779119464,0.0,2784.0,446.0,14468.0,11.0,7.0,16.994371527086848,1.0822757284917028,13.909281562138572,47.729431067877066,group3,39,dataset_user_39_train.csv
4,82,137.0,48.0,51.0,51.0,8.0,21.0,14.0,13.0,13.0,99.0,47.0,17840.0,0.0,0.0,3900.0,10740.0,3240.0,240.0,3081.0,916.0,9095.0,13.0,9.0,17.0,0.0,13.0,57.0,group3,12,dataset_user_12_train.csv
4,95,124.0,39.0,40.0,40.0,7.0,20.0,13.0,14.0,14.0,96.0,28.0,26858.0,0.0,0.0,4620.0,16440.0,5820.0,480.0,2794.0,574.0,5286.5179452070415,14.0,10.0,18.0,0.0,16.0,46.0,group3,21,dataset_user_21_train.csv
