day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file
0,74,126.0,47.0,48.0,51.0,6.0,23.0,16.0,15.0,15.0,99.0,22.0,24840.0,0.0,0.0,6420.0,14400.0,4020.0,120.0,1936.0,260.0,6231.0,15.0,10.0,19.0,0.0,4.0,52.0,group1,10,dataset_user_10_train.csv
0,87,110.0,58.0,62.0,61.38979914628495,7.0,24.0,16.0,16.0,15.0,88.0,21.0,25140.0,0.0,0.0,6720.0,14280.0,4140.0,60.0,2167.0,142.0,2269.0,16.0,13.0,19.0,0.0,15.0,68.0,group1,37,dataset_user_37_train.csv
1,84,106.0,51.0,58.0,59.98594436054139,8.0,23.0,16.0,15.0,15.0,93.0,22.0,28800.0,0.0,0.0,4680.0,19560.0,4560.0,1080.0,2158.0,133.0,2962.0,15.0,12.0,20.0,1.0,5.0,61.0,group1,37,dataset_user_37_train.csv
2,54,144.0,54.0,57.0,64.0,7.0,22.0,14.0,15.0,14.0,99.0,39.0,26580.0,0.0,0.0,6000.0,16680.0,3900.0,1020.0,2465.90515718281,440.90515718280983,5430.455223362526,15.0,11.0,20.0,1.0,9.0,61.0,group1,37,dataset_user_37_train.csv
3,60,119.0,46.0,50.0,52.0,7.0,23.0,14.0,14.0,15.0,99.0,23.0,32580.0,4980.0,0.0,4800.0,21360.0,6420.0,720.0,1895.0,219.0,2370.0,14.0,10.0,18.0,1.0,10.0,54.0,group1,10,dataset_user_10_train.csv
3,77,107.0,54.0,59.0,63.0,7.0,22.0,15.0,14.0,15.0,95.0,24.0,20520.0,0.0,0.0,4200.0,15660.0,660.0,3300.0,2274.0,249.0,6237.0,14.0,11.398535375671575,19.0,2.0,27.0,66.0,group1,37,dataset_user_37_train.csv
4,80,109.0,50.0,52.0,52.0,8.0,22.0,14.0,15.0,14.0,96.0,19.0,25920.0,0.0,0.0,2880.0,19920.0,3120.0,1735.0128340420167,1737.0,61.0,2652.0,15.0,12.0,19.0,4.0,19.0,57.0,group1,10,dataset_user_10_train.csv
4,31,132.0,55.0,60.0,62.0,8.0,23.0,14.0,15.0,15.0,99.0,34.0,22920.0,0.0,0.0,6300.0,13980.0,2640.0,60.0,2271.7572307597584,246.7572307597584,7876.0,15.0,13.0,19.0,0.0,11.0,62.0,group1,37,dataset_user_37_train.csv
5,69,153.0,46.0,48.0,51.0,7.0,24.0,15.0,14.0,14.0,99.0,23.0,27420.0,0.0,0.0,3300.0,18720.0,5400.0,2400.0,2219.0,543.0,4891.0,14.0,10.0,19.0,3.0,7.0,52.0,group1,10,dataset_user_10_train.csv
5,94,98.0,48.0,50.0,56.0,7.0,21.0,13.0,14.0,15.0,80.0,17.0,32220.0,0.0,0.0,6720.0,16800.0,8700.0,0.0,2087.0,35.0,1783.0,14.672151431353349,10.91639711082686,18.0,0.7393000264664376,14.279151166688976,53.58854854218021,group1,19,dataset_user_19_train.csv
5,79,122.0,54.00361838694862,59.35805253044181,63.0,8.0,22.0,17.0,15.0,15.0,99.0,37.0,27107.03742190206,0.0,0.0,2460.0,20403.18718615822,2608.2265498395395,4080.0,2517.0,492.0,3906.0,15.0,11.0,19.0,3.0,20.0,68.0,group1,37,dataset_user_37_train.csv
6,66,118.0,48.0,50.0,51.0,8.0,22.0,15.0,14.0,14.0,99.0,25.0,23520.0,0.0,0.0,3600.0,15540.0,4380.0,2820.0,1975.0,299.0,6955.0,14.0,11.0,18.0,3.0,14.0,53.0,group1,10,dataset_user_10_train.csv
6,80,98.0,48.0,50.0,55.0,7.0,21.0,13.0,15.0,15.0,86.0,24.0,29160.0,0.0,840.0,5220.0,16740.0,7200.0,1020.0,2152.0,100.0,5051.0,15.0,10.0,18.0,1.0,12.0,53.0,group1,19,dataset_user_19_train.csv
6,76,115.0,53.0,59.0,60.0,6.0,22.0,14.0,15.0,15.0,93.0,31.0,23280.0,0.0,0.0,4740.0,15360.0,3180.0,60.0,2331.0,306.0,4514.0,15.0,11.0,19.0,0.0,8.0,61.0,group1,37,dataset_user_37_train.csv
7,73,119.0,46.0,48.0,51.0,8.0,22.0,14.0,14.0,15.0,99.0,19.0,18120.0,0.0,0.0,6300.0,8340.0,3480.0,0.0,2077.0,401.0,9885.0,14.0,11.0,17.0,0.0,5.0,50.0,group1,10,dataset_user_10_train.csv
7,83,101.0,45.0,46.0,54.0,6.0,20.0,13.0,15.0,15.0,95.0,22.0,23340.0,0.0,0.0,5460.0,13980.0,3900.0,0.0,2130.0,78.0,2556.0,15.0,12.0,18.0,0.0,7.0,50.0,group1,19,dataset_user_19_train.csv
7,73,127.0,54.0,58.0,59.0,8.0,22.0,15.0,15.0,14.0,93.0,33.0,26820.0,0.0,0.0,4860.0,18360.0,3600.0,1200.0,2409.0,384.0,5621.0,15.0,12.0,20.0,1.0,23.0,63.0,group1,37,dataset_user_37_train.csv
8,85,113.0,49.72849903713903,53.0,51.0,7.0,25.0,18.0,13.335976010858264,15.0,97.0,29.992071967425208,25036.31235822483,5640.0,0.0,5971.889036163113,14377.623189114156,4686.800132947557,288.30772985089544,2433.0,244.0,680.0,15.0,8.0,21.0,0.0,17.0,59.0,group1,1,dataset_user_1_train.csv
8,86,155.0,50.0,51.0,51.0,8.0,21.0,14.0,15.0,14.0,99.0,27.0,23580.0,0.0,0.0,6120.0,14400.0,3060.0,1080.0,2235.0,546.0,10072.0,15.0,11.0,18.0,1.0,22.0,58.0,group1,10,dataset_user_10_train.csv
8,60,119.0,45.0,46.0,52.0,7.0,21.0,13.0,15.0,15.0,99.0,29.0,24960.0,0.0,0.0,7200.0,13140.0,4620.0,1260.0,2196.0,144.0,3769.0,15.0,10.0,18.0,1.0,8.0,51.0,group1,19,dataset_user_19_train.csv
8,84,116.0,53.0,58.0,59.0,7.0,23.0,16.0,14.0,15.0,90.0,28.0,27900.0,0.0,0.0,3660.0,21300.0,2940.0,2040.0,2200.0,175.0,2910.0,14.0,11.0,18.0,2.0,24.0,63.0,group1,37,dataset_user_37_train.csv
9,83,111.0,50.0,52.0,51.0,7.0,21.0,14.0,15.0,14.0,93.0,24.0,32979.0,0.0,4740.0,3900.0,23400.0,5700.0,60.0,2352.0,163.0,3497.0,13.992862648766247,8.301323752528523,19.287049050061018,0.9555543044096609,18.05872039805785,56.383077792475454,group1,1,dataset_user_1_train.csv
9,83,190.0,48.0,50.0,50.0,7.0,22.0,16.0,14.0,14.0,94.0,28.0,29700.0,0.0,0.0,5880.0,20280.0,3540.0,180.0,2449.0,760.0,14601.0,14.0,10.0,17.0,0.0,10.0,53.0,group1,10,dataset_user_10_train.csv
9,83,117.0,46.0,49.0,50.0,6.0,22.0,13.0,15.0,15.0,98.0,40.0,17100.0,0.0,0.0,5700.0,8880.0,2520.0,180.0,2389.0,337.0,6804.0,15.0,12.0,17.0,0.0,21.0,52.0,group1,19,dataset_user_19_train.csv
9,78,118.0,56.0,60.0,60.0,9.0,23.0,16.0,15.0,15.0,96.0,37.0,28830.0,0.0,0.0,7800.0,15360.0,5700.0,1980.0,2351.0,326.0,5528.0,15.0,12.0,20.0,2.0,18.0,63.0,group1,37,dataset_user_37_train.csv
10,76,109.0,49.0,50.0,51.0,7.0,20.0,14.0,14.0,14.0,81.0,24.0,25030.0,0.0,0.0,8520.0,12240.0,4320.0,0.0,2544.0,355.0,8883.0,14.0,8.0,18.0,0.0,13.0,53.0,group1,1,dataset_user_1_train.csv
10,71,115.0,47.0,49.0,50.0,8.0,22.0,15.0,14.0,14.0,99.0,25.0,34800.0,0.0,0.0,6120.0,22980.0,5700.0,1380.0,1988.0,299.0,5196.0,14.0,11.0,17.0,2.0,13.0,53.0,group1,10,dataset_user_10_train.csv
10,91,131.0,45.0,50.0,50.0,7.0,22.0,14.0,15.0,14.0,94.0,34.0,27300.0,0.0,0.0,5580.0,16140.0,5580.0,420.0,2401.0,349.0,7211.0,15.0,11.0,18.0,0.0,22.0,54.0,group1,19,dataset_user_19_train.csv
10,71,109.0,50.0,58.0,60.0,7.0,24.0,16.0,15.0,16.0,92.0,34.0,28980.0,0.0,0.0,5520.0,19080.0,4380.0,2040.0,2222.0,197.0,3394.0,15.0,11.522088120433175,19.0,1.0,24.0,64.0,group1,37,dataset_user_37_train.csv
11,90,139.0,49.0,50.0,51.0,7.0,21.0,13.0,14.0,14.0,85.0,28.0,22500.0,0.0,0.0,6180.0,12900.0,3420.0,180.0,2827.8002530080803,638.8002530080798,11885.412296185754,14.0,9.0,19.0,0.0,16.0,54.0,group1,1,dataset_user_1_train.csv
11,69,164.0,49.0,52.0,50.0,6.0,23.0,15.0,14.0,15.0,99.33887566547266,25.0,26460.0,0.0,0.0,4380.0,17820.0,4260.0,3240.0,2276.0,587.0,12126.0,14.0,10.0,19.0,3.0,19.0,57.0,group1,10,dataset_user_10_train.csv
11,43,112.0,47.0,49.0,49.0,7.0,21.0,13.0,14.0,16.0,97.0,21.0,31680.0,0.0,0.0,4200.0,21000.0,6480.0,420.0,2288.0,236.0,5241.0,14.0,12.0,18.0,1.0,11.0,54.0,group1,19,dataset_user_19_train.csv
11,66,126.0,55.0,61.0,60.0,8.0,23.0,16.0,16.0,15.0,95.0,37.0,31800.0,0.0,0.0,4440.0,23460.0,3900.0,3240.0,2463.0,438.0,5329.0,16.0,12.0,21.0,3.0,24.0,67.0,group1,37,dataset_user_37_train.csv
12,100,96.0,50.0,51.0,51.0,6.0,20.0,14.0,14.0,13.0,92.0,23.0,30240.0,0.0,0.0,7620.0,14940.0,7680.0,120.0,2295.0,106.0,3707.0,14.0,9.131759057275064,19.0,0.0,19.0,56.0,group1,1,dataset_user_1_train.csv
12,62,116.0,49.0,51.0,50.0,7.0,23.0,15.0,15.0,15.0,94.0,30.0,20700.0,4440.0,300.0,4920.0,13680.0,2100.0,60.0,1788.0,99.0,2884.0,15.0,11.0,18.0,0.0,17.0,58.0,group1,10,dataset_user_10_train.csv
