day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,act_activeTime,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file,ts__hr_time_series__len_raw,ts__hr_time_series__nan_frac_raw,ts__hr_time_series__neg_frac_raw,ts__hr_time_series__neg_count_raw,ts__hr_time_series__used,ts__hr_time_series__len,ts__hr_time_series__mean,ts__hr_time_series__std,ts__hr_time_series__min,ts__hr_time_series__max,ts__hr_time_series__range,ts__hr_time_series__median,ts__hr_time_series__mad,ts__hr_time_series__energy,ts__hr_time_series__q10,ts__hr_time_series__q25,ts__hr_time_series__q50,ts__hr_time_series__q75,ts__hr_time_series__q90,ts__hr_time_series__slope,ts__hr_time_series__diff_mean,ts__hr_time_series__diff_std,ts__hr_time_series__diff_abs_mean,ts__resp_time_series__len_raw,ts__resp_time_series__nan_frac_raw,ts__resp_time_series__neg_frac_raw,ts__resp_time_series__neg_count_raw,ts__resp_time_series__used,ts__resp_time_series__len,ts__resp_time_series__mean,ts__resp_time_series__std,ts__resp_time_series__min,ts__resp_time_series__max,ts__resp_time_series__range,ts__resp_time_series__median,ts__resp_time_series__mad,ts__resp_time_series__energy,ts__resp_time_series__q10,ts__resp_time_series__q25,ts__resp_time_series__q50,ts__resp_time_series__q75,ts__resp_time_series__q90,ts__resp_time_series__slope,ts__resp_time_series__diff_mean,ts__resp_time_series__diff_std,ts__resp_time_series__diff_abs_mean,ts__stress_time_series__len_raw,ts__stress_time_series__nan_frac_raw,ts__stress_time_series__neg_frac_raw,ts__stress_time_series__neg_count_raw,ts__stress_time_series__used,ts__stress_time_series__len,ts__stress_time_series__mean,ts__stress_time_series__std,ts__stress_time_series__min,ts__stress_time_series__max,ts__stress_time_series__range,ts__stress_time_series__median,ts__stress_time_series__mad,ts__stress_time_series__energy,ts__stress_time_series__q10,ts__stress_time_series__q25,ts__stress_time_series__q50,ts__stress_time_series__q75,ts__stress_time_series__q90,ts__stress_time_series__slope,ts__stress_time_series__diff_mean,ts__stress_time_series__diff_std,ts__stress_time_series__diff_abs_mean,hr_maxHeartRate__is_outlier,hr_maxHeartRate__clean,hr_minHeartRate__is_outlier,hr_minHeartRate__clean,hr_restingHeartRate__is_outlier,hr_restingHeartRate__clean,hr_lastSevenDaysAvgRestingHeartRate__is_outlier,hr_lastSevenDaysAvgRestingHeartRate__clean,resp_lowestRespirationValue__is_outlier,resp_lowestRespirationValue__clean,resp_highestRespirationValue__is_outlier,resp_highestRespirationValue__clean,resp_avgWakingRespirationValue__is_outlier,resp_avgWakingRespirationValue__clean,resp_avgSleepRespirationValue__is_outlier,resp_avgSleepRespirationValue__clean,resp_avgTomorrowSleepRespirationValue__is_outlier,resp_avgTomorrowSleepRespirationValue__clean,str_maxStressLevel__is_outlier,str_maxStressLevel__clean,str_avgStressLevel__is_outlier,str_avgStressLevel__clean,sleep_sleepTimeSeconds__is_outlier,sleep_sleepTimeSeconds__clean,sleep_napTimeSeconds__is_outlier,sleep_napTimeSeconds__clean,sleep_unmeasurableSleepSeconds__is_outlier,sleep_unmeasurableSleepSeconds__clean,sleep_deepSleepSeconds__is_outlier,sleep_deepSleepSeconds__clean,sleep_lightSleepSeconds__is_outlier,sleep_lightSleepSeconds__clean,sleep_remSleepSeconds__is_outlier,sleep_remSleepSeconds__clean,sleep_awakeSleepSeconds__is_outlier,sleep_awakeSleepSeconds__clean,act_totalCalories__is_outlier,act_totalCalories__clean,act_activeKilocalories__is_outlier,act_activeKilocalories__clean,act_distance__is_outlier,act_distance__clean,act_activeTime__is_outlier,act_activeTime__clean,sleep_averageRespirationValue__is_outlier,sleep_averageRespirationValue__clean,sleep_lowestRespirationValue__is_outlier,sleep_lowestRespirationValue__clean,sleep_highestRespirationValue__is_outlier,sleep_highestRespirationValue__clean,sleep_awakeCount__is_outlier,sleep_awakeCount__clean,sleep_avgSleepStress__is_outlier,sleep_avgSleepStress__clean,sleep_avgHeartRate__is_outlier,sleep_avgHeartRate__clean
0,64,93,54,58,58.0,6.0,19.0,14.0,13.0,13.0,52,8,23220.0,0.0,0.0,3180.0,17160.0,2880.0,3420.0,2214.0,9.0,210.0,0.0,13.0,7.0,18.0,4.0,5.0,56.0,group2,29,dataset_user_29_train.csv,150.0,0.006666666666666667,0.0,0.0,1.0,149.0,65.57718120805369,6.855342508837349,54.0,93.0,39.0,66.0,5.0,4347.362416107382,57.0,60.0,66.0,69.0,73.0,-0.11675312896789405,-0.07432432432432433,4.899105290925119,3.060810810810811,151.0,0.0,0.046357615894039736,7.0,1.0,144.0,13.583333333333334,2.066599461272874,7.0,19.0,12.0,14.0,1.0,188.77777777777777,11.0,12.0,14.0,15.0,16.0,-0.003854191785226268,0.0,2.4778741170326106,1.8741258741258742,102.0,0.0,0.11764705882352941,12.0,1.0,90.0,8.044444444444444,6.499420676937481,0.0,28.0,28.0,7.5,4.5,106.95555555555555,1.0,2.25,7.5,11.75,18.0,-0.19592542289171502,-0.10112359550561797,4.218857995059441,3.0,True,123,False,54.0,False,58.0,False,58.0,False,6.0,False,19.0,False,14.0,False,13.0,False,13.0,True,96,True,32.5,False,23220.0,False,0.0,False,0.0,False,3180.0,False,17160.0,False,2880.0,False,3420.0,False,2214.0,False,9.0,False,210.0,False,0.0,False,13.0,False,7.0,False,18.0,False,4.0,False,5.0,False,56.0
1,74,85,41,45,43.0,7.0,19.0,13.0,15.0,15.0,84,20,20424.0,0.0,0.0,5700.0,12660.0,2100.0,540.0,2213.0,2.0,77.0,0.0,15.0,8.0,19.0,0.0,14.0,49.0,group2,11,dataset_user_11_train.csv,18.0,0.05555555555555555,0.0,0.0,1.0,17.0,55.705882352941174,11.993943108097387,41.0,85.0,44.0,53.0,10.0,3247.0,42.6,44.0,53.0,63.0,69.2,-2.105392156862745,-2.0,8.638576271585498,6.5,720.0,0.0,0.9777777777777777,704.0,0.0,589.0,13.228956228956228,2.5084738823846595,7.0,20.0,14.0,13.0,2.0,181.74410774410774,10.0,11.0,13.0,15.0,17.0,-0.0022311150719521037,0.0,2.4145036445421137,1.8197278911564625,480.0,0.0,0.9791666666666666,470.0,0.0,372.0,27.156593406593405,18.955933313683303,3.0,92.0,89.0,22.5,11.0,992.1365979381443,8.0,11.0,22.5,34.0,54.0,0.09450832249663793,0.002457002457002457,11.697980415691024,6.953168044077135,False,85,False,41.0,False,45.0,False,43.0,False,7.0,False,19.0,False,13.0,False,15.0,False,15.0,False,84,False,20.0,False,20424.0,False,0.0,False,0.0,False,5700.0,False,12660.0,False,2100.0,False,540.0,False,2213.0,False,2.0,False,77.0,False,0.0,False,15.0,False,8.0,False,19.0,False,0.0,False,14.0,False,49.0
1,66,114,50,52,55.0,6.0,21.0,13.0,13.0,13.0,93,27,23220.0,0.0,0.0,3180.0,17160.0,2880.0,3420.0,2396.0,191.0,5131.0,0.0,13.0,7.5,17.0,3.5,9.0,55.5,group2,29,dataset_user_29_train.csv,720.0,0.0,0.0,0.0,1.0,720.0,66.17361111111111,11.427020767747962,50.0,114.0,64.0,64.0,8.0,4509.523611111111,54.0,57.0,64.0,73.0,82.0,0.017511784680654598,0.03477051460361613,5.451790322001518,3.5201668984700976,720.0,0.0,0.09861111111111111,71.0,1.0,649.0,13.093990755007704,2.072368126488749,7.0,21.0,14.0,13.0,1.0,175.74730354391372,10.799999999999997,12.0,13.0,14.0,16.0,0.0016946957624923735,-0.0015432098765432098,2.1570292988925894,1.566358024691358,480.0,0.0,0.11666666666666667,56.0,1.0,424.0,26.745283018867923,21.12164289312756,0.0,88.0,88.0,23.0,15.0,1161.433962264151,4.0,9.0,23.0,39.0,61.0,0.07082910241575555,0.13947990543735225,10.816410206401304,6.4373522458628845,False,114,False,50.0,False,52.0,False,55.0,False,6.0,False,21.0,False,13.0,False,13.0,False,13.0,False,93,False,27.0,False,23220.0,False,0.0,False,0.0,False,3180.0,False,17160.0,False,2880.0,False,3420.0,False,2396.0,False,191.0,False,5131.0,False,0.0,False,13.0,False,7.5,False,17.0,False,3.5,False,9.0,False,55.5
1,91,92,47,50,50.0,8.0,22.0,14.0,16.0,16.0,59,8,35460.0,0.0,0.0,5040.0,24240.0,6180.0,420.0,1755.0,1.0,48.0,0.0,16.0,11.0,22.0,0.0,6.0,51.0,group2,38,dataset_user_38_train.csv,151.0,0.006622516556291391,0.0,0.0,1.0,150.0,56.28666666666667,6.761988530668245,47.0,92.0,45.0,55.0,3.0,3213.9133333333334,50.0,52.0,55.0,58.75,62.0,-0.08629183519267523,-0.2214765100671141,4.922003244688425,2.6241610738255035,150.0,0.0,0.03333333333333333,5.0,1.0,145.0,15.303448275862069,2.9250974352908834,8.0,22.0,14.0,16.0,2.0,242.75172413793103,10.4,14.0,16.0,17.0,19.0,0.02558652180758935,0.013888888888888888,2.2329169733504517,1.4722222222222223,100.0,0.0,0.03,3.0,1.0,97.0,8.278350515463918,6.405124024876186,1.0,50.0,49.0,8.0,4.0,109.55670103092784,2.0,3.0,8.0,11.0,15.0,-0.0077319587628865965,-0.3854166666666667,6.059375984900498,4.177083333333333,False,92,False,47.0,False,50.0,False,50.0,False,8.0,False,22.0,False,14.0,False,16.0,False,16.0,True,99,True,22.5,False,35460.0,False,0.0,False,0.0,False,5040.0,False,24240.0,False,6180.0,False,420.0,False,1755.0,False,1.0,False,48.0,False,0.0,False,16.0,False,11.0,False,22.0,False,0.0,False,6.0,False,51.0
2,18,122,47,50,53.0,7.0,20.0,13.0,13.0,19.0,99,41,23100.0,0.0,0.0,3780.0,16920.0,2400.0,3480.0,2897.0,692.0,9245.0,0.0,13.0,8.0,16.0,3.0,13.0,55.0,group2,29,dataset_user_29_train.csv,720.0,0.0,0.0,0.0,1.0,720.0,73.5111111111111,17.47601177770034,47.0,122.0,75.0,73.0,14.0,5709.294444444445,53.0,58.0,73.0,85.0,100.0,0.06557178929743307,0.02086230876216968,5.3117927251179085,3.6842837273991655,720.0,0.0,0.1111111111111111,80.0,1.0,640.0,13.021875,1.9865539218392738,7.0,20.0,13.0,13.0,1.0,173.515625,11.0,12.0,13.0,14.0,15.0,0.0006694810045922968,0.001564945226917058,2.239564020789673,1.6854460093896713,480.0,0.0,0.175,84.0,1.0,396.0,40.35606060606061,29.940378273292442,2.0,97.0,95.0,25.0,17.0,2525.037878787879,9.0,13.0,25.0,67.0,90.5,0.2097744012197349,0.21265822784810126,8.980166149524473,5.534177215189874,False,122,False,47.0,False,50.0,False,53.0,False,7.0,False,20.0,False,13.0,False,13.0,True,13.0,False,99,False,41.0,False,23100.0,False,0.0,False,0.0,False,3780.0,False,16920.0,False,2400.0,False,3480.0,False,2897.0,False,692.0,False,9245.0,False,0.0,False,13.0,False,8.0,False,16.0,False,3.0,False,13.0,False,55.0
2,87,136,43,46,48.0,6.0,23.0,13.0,16.0,16.0,98,18,35460.0,0.0,0.0,5040.0,24240.0,6180.0,420.0,1815.0,131.0,4769.0,0.0,16.0,10.5,21.0,0.0,10.5,50.9,group2,38,dataset_user_38_train.csv,720.0,0.0,0.0,0.0,1.0,720.0,58.325,12.69306186246819,43.0,136.0,93.0,54.0,6.0,3562.9194444444443,47.0,49.0,54.0,64.0,74.10000000000002,0.02293561523073926,0.006954102920723227,5.600139729714802,3.4172461752433936,720.0,0.0,0.1111111111111111,80.0,1.0,640.0,14.0984375,2.9761548277254914,7.0,23.0,16.0,14.0,2.0,207.6234375,10.0,12.0,14.0,16.0,18.0,-0.005091053994272447,0.001564945226917058,2.360670985969472,1.7480438184663536,480.0,0.0,0.15833333333333333,76.0,1.0,404.0,17.487623762376238,14.685054883375551,1.0,88.0,87.0,15.0,8.0,521.4678217821782,2.0,7.0,15.0,23.0,34.0,0.052879440135907715,0.01240694789081886,9.782363474617465,5.312655086848635,False,136,False,43.0,False,46.0,False,48.0,False,6.0,False,23.0,False,13.0,False,16.0,False,16.0,False,98,False,18.0,False,35460.0,False,0.0,False,0.0,False,5040.0,False,24240.0,False,6180.0,False,420.0,False,1815.0,False,131.0,False,4769.0,False,0.0,False,16.0,False,10.5,False,21.0,False,0.0,False,10.5,False,50.9
3,86,128,53,57,54.0,7.0,25.0,15.0,19.0,12.0,99,42,8820.0,5880.0,0.0,4740.0,4080.0,0.0,2580.0,2760.0,555.0,4885.0,0.0,19.0,13.0,23.0,3.0,75.0,82.0,group2,29,dataset_user_29_train.csv,710.0,0.0014084507042253522,0.0,0.0,1.0,709.0,78.06205923836389,14.473908697897759,53.0,128.0,75.0,76.0,9.0,6303.179125528914,62.0,67.0,76.0,85.0,100.0,-0.059049306717405124,-0.06073446327683616,4.727069005363434,3.114406779661017,719.0,0.0,0.08205841446453407,59.0,1.0,660.0,15.154545454545454,2.8883875032872592,8.0,25.0,17.0,15.0,2.0,238.0030303030303,11.0,13.0,15.0,17.0,19.0,-0.005924047325427953,0.0030349013657056147,2.4126606907721335,1.8148710166919575,480.0,0.0,0.16875,81.0,1.0,399.0,41.60401002506266,26.64579855082086,6.0,97.0,91.0,31.0,17.0,2440.8922305764413,13.0,19.0,31.0,70.0,79.19999999999999,-0.20687119809574192,-0.22110552763819097,8.353157064766766,5.251256281407035,False,128,False,53.0,False,57.0,False,54.0,False,7.0,False,25.0,False,15.0,True,13.0,False,12.0,False,99,False,42.0,True,24930.0,False,5880.0,False,0.0,False,4740.0,True,17160.0,False,0.0,False,2580.0,False,2760.0,False,555.0,False,4885.0,False,0.0,True,13.0,True,9.0,False,23.0,False,3.0,True,14.0,True,56.5
3,85,161,43,51,51.0,4.0,22.0,13.0,16.0,16.0,99,11,28560.0,0.0,0.0,7920.0,17220.0,3420.0,480.0,2203.0,519.0,6113.0,0.0,16.0,10.0,20.0,0.0,15.0,50.8,group2,38,dataset_user_38_train.csv,706.0,0.0028328611898017,0.0,0.0,1.0,704.0,63.31534090909091,21.657457063900416,43.0,161.0,118.0,55.0,5.0,4477.877840909091,49.0,52.0,55.0,64.0,89.70000000000005,0.017142613447204712,0.001422475106685633,6.8232093433573215,4.1322901849217635,717.0,0.0,0.1701534170153417,122.0,1.0,595.0,14.299159663865547,3.1746764752343837,5.0,21.0,16.0,15.0,3.0,214.54453781512606,10.0,12.0,15.0,17.0,18.0,-0.0050159254265057665,-0.0016835016835016834,2.359520551544773,1.728956228956229,478.0,0.0,0.23221757322175732,111.0,1.0,367.0,11.5858310626703,10.95333753044837,0.0,98.0,98.0,11.0,6.0,254.20708446866485,2.0,4.5,11.0,16.0,20.400000000000034,-0.017230496736265807,-0.00273224043715847,12.284536157317294,5.248633879781421,False,161,False,43.0,False,51.0,False,51.0,True,6.0,False,22.0,False,13.0,False,16.0,False,16.0,False,99,True,22.5,False,28560.0,False,0.0,False,0.0,False,7920.0,False,17220.0,False,3420.0,False,480.0,False,2203.0,False,519.0,False,6113.0,False,0.0,False,16.0,False,10.0,False,20.0,False,0.0,False,15.0,False,50.8
4,52,187,46,48,53.0,7.0,22.0,14.0,12.0,13.0,96,25,28800.0,0.0,0.0,3600.0,19380.0,5820.0,1380.0,3230.0,1025.0,17266.0,0.0,12.0,8.0,17.0,1.0,7.0,55.0,group2,29,dataset_user_29_train.csv,691.0,0.004341534008683068,0.0,0.0,1.0,688.0,72.76453488372093,23.851583690629617,46.0,187.0,141.0,67.0,13.0,5863.575581395349,51.0,56.0,67.0,83.25,95.30000000000007,0.040360991972535384,0.00727802037845706,5.481869496172685,3.6754002911208152,697.0,0.0,0.1750358680057389,122.0,1.0,575.0,13.172173913043478,2.296293717998521,8.0,22.0,14.0,13.0,1.0,178.77913043478262,10.0,12.0,13.0,15.0,16.0,0.005401959299096095,-0.0017421602787456446,2.288053452720942,1.7020905923344947,465.0,0.0,0.24946236559139784,116.0,1.0,349.0,25.171919770773638,24.33020719752229,1.0,88.0,87.0,16.0,13.0,1225.5845272206304,2.0,5.0,16.0,38.0,67.0,0.13908252995892556,0.028735632183908046,10.427873876001177,5.850574712643678,True,123,False,46.0,False,48.0,False,53.0,False,7.0,False,22.0,False,14.0,False,12.0,False,13.0,False,96,False,25.0,False,28800.0,False,0.0,False,0.0,False,3600.0,False,19380.0,False,5820.0,False,1380.0,False,3230.0,False,1025.0,False,17266.0,False,0.0,False,12.0,False,8.0,False,17.0,False,1.0,False,7.0,False,55.0
4,89,131,46,48,50.0,7.0,22.0,13.0,16.0,16.0,99,15,24660.0,0.0,0.0,7560.0,11520.0,5580.0,960.0,1832.0,148.0,5476.0,0.0,16.0,10.0,20.0,1.0,8.0,50.7,group2,38,dataset_user_38_train.csv,650.0,0.003076923076923077,0.0,0.0,1.0,648.0,60.53703703703704,12.5476321552049,46.0,131.0,85.0,57.0,6.0,3822.175925925926,49.0,51.75,57.0,66.25,76.30000000000007,0.008121231878861618,0.0,5.263680930653168,3.1406491499227203,719.0,0.0,0.2851182197496523,205.0,1.0,514.0,14.439688715953308,2.7912559235456538,8.0,21.0,13.0,15.0,2.0,216.295719844358,10.300000000000004,12.0,15.0,17.0,18.0,-0.007821954998308862,-0.007797270955165692,2.212831977898391,1.6140350877192982,480.0,0.0,0.31666666666666665,152.0,1.0,328.0,15.341463414634147,12.993168479116642,1.0,94.0,93.0,12.0,7.0,404.1829268292683,3.0,6.0,12.0,21.0,28.0,0.03437731457708319,-0.01529051987767584,7.123833355294606,3.8440366972477062,False,131,False,46.0,False,48.0,False,50.0,False,7.0,False,22.0,False,13.0,False,16.0,False,16.0,False,99,False,15.0,False,24660.0,False,0.0,False,0.0,False,7560.0,False,11520.0,False,5580.0,False,960.0,False,1832.0,False,148.0,False,5476.0,False,0.0,False,16.0,False,10.0,False,20.0,False,1.0,False,8.0,False,50.7
